NO,제목,공감/비공감,조회수,등록일,카테고리,세분화
7505,복수전공하는 학생 1500명과 호크마생의 수업권을 침해하는 경영대학 행정실,0 / 0,0,2021.08.12,행정지원,학사운영 전반에 관한 업무
7504,행정적 차별을 시행하며 1500명 넘는 복전생을 방치하는 경영대학 행정실에 항의합니다.,0 / 0,5,2021.08.12,행정지원,학사운영 전반에 관한 업무
7503,경영 전공 수업들의 분반 확충 및 수강 인원 증원을 요구드립니다.,0 / 0,43,2021.08.12,행정지원,학사운영 전반에 관한 업무
7502,온라인 줌 수업 추가 기능,0 / 0,0,2021.08.12,행정지원,학사운영 전반에 관한 업무
7501,교양 과목 개설 관련,0 / 0,5,2021.08.11,행정지원,학사운영 전반에 관한 업무
7500,연구조교의 선정조건을 바꾸어야 합니다.,0 / 2,108,2021.08.11,행정지원,학사운영 전반에 관한 업무
7499,디자인학부의 우선수강신청 제도를 건의합니다,0 / 0,13,2021.08.10,대학,
7498,교수의 갑질을 폭로하는 창을 만들어주십시오,4 / 0,142,2021.08.09,행정지원,학교관련 제도
7497,디자인학부 우선 수강신청 제안합니다,0 / 0,1,2021.08.08,대학,
7496,디자인학부 우선수강신청 제안합니다.,0 / 0,0,2021.08.07,대학,
7495,2021-2학기 3학점 추가 강력히 제안합니다,0 / 0,0,2021.08.06,행정지원,학사운영 전반에 관한 업무
7471,2021 간호대 졸업시험 일정 연기를 제안합니다.,0 / 0,0,2021.07.26,대학,
7470,2021 간호대 졸업시험 정책제안합니다,0 / 0,1,2021.07.26,대학,
7469,간호대 졸업시험을 연기하기를 바랍니다.,0 / 0,1,2021.07.26,대학,
7468,2021-2 추가 3학점 지급을 건의합니다.,0 / 0,0,2021.07.26,행정지원,학교관련 제도
7386,21-2학기 추가 3학점 지급 건의합니다,43 / 0,190,2021.07.16,행정지원,학교관련 제도
7384,2학기 수업 3학점 추가 관련의 건,0 / 0,1,2021.07.16,행정지원,학교관련 제도
7383,교내출입외부차량 체온 체크해주시는 직원분들 고정 파라솔 제공해주세요.,0 / 0,0,2021.07.13,기타,
7382,제안합니다.,0 / 0,5,2021.06.22,기타,
7381,2학기 혼합수업 인원을 산정하는 기준을 '수강정원'에서 '실수강신청 인원'으로 변경하여 주십시오.,4 / 0,104,2021.06.21,행정지원,학사운영 전반에 관한 업무
7380,2학기 대면/ 비대면 여부를 빨리 확정해주세요 (학생들의 안전을 위해 비대면 진행해주세요),0 / 4,138,2021.06.18,행정지원,학사운영 전반에 관한 업무
7379,샤워실 온수 사용 관련 문제,8 / 1,93,2021.06.14,생활지원,편의시설
7378,연구협력관 샤워실 온수시설 확보 부탁드립니다.,7 / 0,61,2021.06.14,생활지원,편의시설
7377,미대목동병원 인터넷 불량 문제,0 / 0,52,2021.06.14,학생지원,학술지원
7376,음악대학 비대면 수업와 시험을 요구합니다,0 / 0,0,2021.06.13,대학,
7375,ECC 휘트니스센터 복장규제 항의합니다.,12 / 6,206,2021.06.09,기타,
7374,자연과학대학 전면 비대면 시험을 요구합니다.,0 / 0,6,2021.06.07,대학,
7373,기말고사 전면 비대면 전환 권고 조치 부탁드립니다.,0 / 0,0,2021.06.06,행정지원,학사운영 전반에 관한 업무
7372,자연대 비대면 시험을 요구합니다.,0 / 0,0,2021.06.05,대학,
7371,자연과학대학 비대면 시험 요구합니다.,0 / 0,1,2021.06.05,대학,
7370,약학대학 대면시험 취소를 요구합니다,0 / 0,0,2021.06.03,대학,
7369,일반물리학1 대면시험 취소를 요구합니다,0 / 0,2,2021.06.03,대학,
7368,일반물리학1 대면시험 취소를 요구합니다,0 / 0,0,2021.06.02,대학,
7345,음대 대면 실기시험을 반대합니다.,0 / 0,0,2021.06.01,대학,
7344,음대 대면시험 반대,15 / 0,145,2021.06.01,대학,
7343,음대 대면 실기시험 진행을 반대합니다,15 / 0,153,2021.06.01,대학,
7342,기말고사를 비대면으로 진행할 수 있게 해주세요.,0 / 0,1,2021.06.01,행정지원,학사운영 전반에 관한 업무
7341,도서관 운영시간 연장,2 / 0,48,2021.05.29,생활지원,공간사용
7340,열람실 태블릿 사용 건의,0 / 0,1,2021.05.13,학생지원,학술지원
7240,한 유투버의 이대 까기에 대응해주세요,0 / 0,4,2021.05.10,기타,
7239,한 유튜버가 이대 교표를 달고 학교를 비방하고 있습니다,0 / 0,1,2021.05.10,기타,
7238,학교 이미지를 훼손하는 유튜브 영상에 대한 조치를 취해주시기 바랍니다.,21 / 0,187,2021.05.10,기타,
7237,모 유튜버의 이대 까기에 대응해주세요,0 / 0,3,2021.05.10,기타,
7236,ECC 및 중앙도서관 열람실의 태블릿 사용을 허용해주십시오.,0 / 0,1,2021.05.09,생활지원,공간사용
7235,언론들의 특정 줄임말 사용에 대해 정정 및 자제 요청을 해주셨으면 합니다.,0 / 0,0,2021.05.01,기타,
7234,코로나19 예방을 위해 ECC 컴퓨터실(개방실습실) 관리 및 통제 부탁드립니다.,0 / 0,43,2021.04.28,행정지원,학사운영 전반에 관한 업무
7233,등록금을 냈는데도 작년 강의를 다시 올리는 일은 없어야 한다고 생각합니다.,0 / 0,6,2021.04.28,기타,
7232,대형강의 대면시험 금지를 호소합니다.,0 / 0,1,2021.04.27,행정지원,학사운영 전반에 관한 업무
7231,졸업생도 주차가능할수 있도록 해주세요~,0 / 0,0,2021.04.18,학생지원,학술지원
7230,"중앙도서관 이용을 위해 연회비를 낸 졸업생도 그룹활동실, 창의학습실 등 스터디룸과 같은 공간의 사용이 가능하면 좋겠습니다.",0 / 0,0,2021.04.17,생활지원,공간사용
7229,대형강의 대면시험 금지를 호소합니다.,0 / 0,4,2021.04.16,행정지원,학사운영 전반에 관한 업무
7228,대형강의의 대면시험 강행을 금지해주십시오.,0 / 0,1,2021.04.16,행정지원,학사운영 전반에 관한 업무
7227,대형강의의 대면시험 강행을 금지해주십시오,0 / 0,2,2021.04.16,행정지원,학사운영 전반에 관한 업무
7226,내일 라운지 근처 정수기 설치 부탁드립니다,1 / 0,39,2021.04.09,생활지원,편의시설
7225,[교내 야생조류 유리창 충돌] 교내에서 한 해에만 100마리 이상의 새들이 죽고 있습니다. 더이상 무고한 생명들이 죽지 않도록 조치해주시기 바랍니다.,76 / 1,564,2021.03.24,행정지원,학사운영 전반에 관한 업무
7224,학생문화관 샤워실 제한적 개방 요청,0 / 0,67,2021.03.22,생활지원,편의시설
7223,ECC 외부인 출입 통제 방안 마련을 부탁드립니다.,1 / 0,77,2021.03.17,기타,
7222,개인심리검사 확대 요청,0 / 0,0,2021.03.16,학생지원,상담지원
7221,솟을관 무선인터넷 개선부탁드립니다.,0 / 0,35,2021.03.16,학생지원,학술지원
7220,열람실 공기청정기 설치에 관하여 건의드립니다.,1 / 0,33,2021.03.15,생활지원,편의시설
7219,사이버 캠퍼스 서버 불안정 및 사캠 어플 내 파일 다운 불가능 문의드립니다.,1 / 0,51,2021.03.04,기타,
7218,추가학기생 3학점 건의,0 / 0,1,2021.03.03,행정지원,학교관련 제도
7217,온라인 증명서 발급과 관련하여,0 / 0,0,2021.03.02,행정지원,학사운영 전반에 관한 업무
7216,열람실 시간 조정,0 / 0,3,2021.02.27,생활지원,공간사용
7215,논문 제출 자격 재부여,0 / 0,0,2021.02.22,행정지원,학교관련 제도
7214,정정기간 우선수강신청에 관한 제안입니다.,0 / 0,2,2021.02.19,행정지원,학교관련 제도
7213,비사대교직 전공과목들의 안정적인 개설 및 개설여부에 대한 발빠른 공지를 요구합니다.,0 / 0,2,2021.02.18,대학,학사운영 전반에 관한 업무
7212,대학원 성적 우수 장학금 지급 요구,3 / 0,65,2021.02.18,학생지원,학술지원
7211,추가학기,3 / 0,62,2021.02.15,행정지원,학사운영 전반에 관한 업무
7210,유튜브 뻑가에게 선처없는 강경대응 부탁드립니다.,269 / 0,826,2021.02.15,기타,
7209,"이대입결 폭망? 구독자 수 73만명 유튜버 뻑가에 대한 고소장 대응, 제발 부탁드립니다.",462 / 0,1277,2021.02.15,기타,
7208,스크랜튼학부 자유전공 입학생들의 주전공 선택 후 학부 소속 유지를 요청드립니다,44 / 0,289,2021.02.14,대학,
7207,유튜버 '뻑가'가 허위입결자료로 이화여대에 대한 비방 영상을 올렸습니다. 조치 부탁드립니다.,0 / 0,0,2021.02.14,기타,
7206,"이화여대를 비방하는 유튜버 뻑가, 허위사실 유포중이며 현재 조회수 21만회입니다",0 / 0,0,2021.02.14,기타,
7205,코딩 교육 앨리스 사이트에 무료 기관 등록하는 것을 건의드립니다.,0 / 0,1,2021.02.13,기타,
7204,추가학기생 3학점,0 / 0,0,2021.02.10,행정지원,학교관련 제도
7203,대형입시학원의 장학제도 정정해주십시오,0 / 0,0,2021.02.10,기타,
7202,추가학기생 추가 3학점 배제는 차별입니다.,0 / 0,0,2021.02.09,행정지원,학교관련 제도
7201,추가학기 3학점 추가 건의,0 / 0,0,2021.02.09,행정지원,학교관련 제도
7175,추가학기생 수업권(추가 3학점) 보장해주시길 강력하게 건의합니다.,0 / 0,3,2021.02.08,행정지원,학교관련 제도
7174,이화에 바란다 : 이번 수강신청은 추가학기생에 대한 차별입니다. 추가학점 요구합니다,0 / 0,1,2021.02.08,행정지원,학교관련 제도
7173,주전공생 학습권 보호와 우선수강신청 제도에 대한 의견을 전달합니다.,296 / 4,1079,2021.02.04,행정지원,학교관련 제도
7172,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7171,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7170,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7169,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7168,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,2,2021.02.04,대학,
7167,[복수전공생 수업권침해 대응 TFT] 학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7166,조기졸업 제도에 대해 건의드립니다.,0 / 0,1,2021.02.04,행정지원,학교관련 제도
7165,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,0,2021.02.04,대학,
7164,학교는 경영대학 복수전공생들의 수업권을 보장하십시오.,0 / 0,1,2021.02.04,대학,
7163,학위수여식 취소가 아닌 온라인 학위수여식 부탁드립니다.,0 / 0,3,2021.02.02,행정지원,학사운영 전반에 관한 업무
7162,주전공생 보호 우선수강신청을 강력히 제안합니다.,0 / 0,0,2021.02.02,행정지원,학사운영 전반에 관한 업무
7161,전공학점 추가에 따른 요청입니다.,0 / 0,1,2021.02.01,행정지원,학교관련 제도
7068,전공 제도와 복수 전공 제도가 학생 친화적이길 바랍니다.,46 / 0,197,2021.01.27,대학,
7067,경영대 주전공생 보호를 요청합니다.,0 / 0,0,2021.01.27,대학,
7066,경영 주전생의 학습권을 보호해주세요,0 / 0,0,2021.01.26,대학,
7065,경영대 주전공생 보호를 요청합니다.,0 / 0,2,2021.01.26,대학,
7064,경영대 주전공생의 학습권을 보호해주세요.,0 / 0,1,2021.01.26,대학,
7063,경영대 주전공생 보호를 위한 대책을 마련해주세요.,0 / 0,1,2021.01.26,대학,
7062,추가학기생 수강가능학점 3학점 추가 요청합니다,0 / 0,0,2021.01.25,행정지원,학교관련 제도
7061,추가학기생 2021-1 3학점 추가 등록 건의합니다!,1 / 0,19,2021.01.25,행정지원,학교관련 제도
7060,대형 입시 학원에서의 허위 입시 정보 유포에 대응해주십시오.,0 / 0,0,2021.01.25,기타,
7059,입시학원의 잘못된 정보 공지가 입결에 영향을 주고 있습니다.,0 / 0,0,2021.01.25,기타,
7058,입시학원의 잘못된 정보 공지로 인한 학교 위상 실추를 막아주십시오,2 / 0,32,2021.01.25,기타,
7057,2021-1 3학점 추가에 대해 건의드립니다.,0 / 0,0,2021.01.24,행정지원,학교관련 제도
7056,경영대 수강인원 확충 및 분반 개설 요구합니다.,0 / 0,1,2021.01.23,대학,
7055,4학년 필수과목 여엔기와 캡스톤 시간 재배정 부탁드립니다.,0 / 0,0,2021.01.22,행정지원,학사운영 전반에 관한 업무
7054,2021-1학기 3학점 추가 요청합니다!,0 / 0,1,2021.01.22,행정지원,학교관련 제도
7053,2021학년도 1학기 3학점 추가에 대해 건의합니다.,0 / 0,0,2021.01.22,행정지원,학교관련 제도
7052,"여성엔지니어와 기업가 정신, 휴먼기계바이오 공학부 캡스톤 디자인 수업 시간 재조정 부탁드립니다.",0 / 0,3,2021.01.22,행정지원,학사운영 전반에 관한 업무
7051,2021-1학기 추가 3학점 요청합니다.,0 / 0,2,2021.01.22,행정지원,학교관련 제도
7050,커뮤니케이션미디어학부 주전생 보호와 어도비 프로그램 지원 문의드립니다,0 / 0,0,2021.01.21,대학,
7049,2021-1학기 3학점 추가를 부탁드립니다.,0 / 0,0,2021.01.20,행정지원,학교관련 제도
7048,2021년도 1학기 추가 3학점 건의합니다.,0 / 0,1,2021.01.20,행정지원,학교관련 제도
7047,학문관 프린트실 개방 부탁드립니다.,0 / 0,0,2021.01.20,생활지원,편의시설
7046,2021-1학기 3학점 추가 요청드립니다.,0 / 0,0,2021.01.20,행정지원,학교관련 제도
7035,2021-1학기 3학점 추가를 요청드립니다.,0 / 0,0,2021.01.19,행정지원,학교관련 제도
7034,여성 엔지니어와 기업과 정신과 휴먼기계바이오공학부의 융합캡스톤 디자인 1 수업이 겹쳐 졸업을 못할 것 같습니다. 시간표 수정 부탁드립니다.,0 / 0,23,2021.01.19,기타,
7033,2021년도 1학기 추가 3힉점 요청드립니다,0 / 0,0,2021.01.19,행정지원,학교관련 제도
7032,2021-1학기 3학점 추가 요청합니다.,0 / 0,0,2021.01.19,행정지원,학교관련 제도
7031,2021-1 3학점 추가학기,0 / 0,0,2021.01.18,행정지원,학교관련 제도
6971,코로나 3학점 추가학점 요청드립니다.,0 / 0,1,2021.01.16,행정지원,학교관련 제도
6970,등록금 인하가 어렵다면 추가 3학점 부탁드립니다,0 / 0,1,2021.01.16,행정지원,학교관련 제도
6969,지난 학기와 동일하게 추가로 3학점을 주시길 제안합니다.,8 / 0,61,2021.01.16,행정지원,학교관련 제도
6968,이화여대 입시 후려치기 강경 대응해주시길 부탁드립니다.,0 / 0,22,2021.01.16,행정지원,학교관련 제도
6967,여성 엔지니어와 기업과 정신과 휴먼기계바이오공학부의 융합캡스톤 디자인 1 수업이 겹쳐 졸업을 못할 것 같습니다. 시간표 수정 부탁드립니다.,0 / 0,8,2021.01.16,기타,
6966,코로나로 인한 3학점 추가를 요청드립니다,0 / 0,0,2021.01.15,행정지원,학교관련 제도
6965,코로나 추가 3학점과 관련해서 건의드립니다.,0 / 0,0,2021.01.15,행정지원,학교관련 제도
6964,3학점,0 / 0,1,2021.01.15,행정지원,학교관련 제도
6963,어도비 프로그램 무료 지원을 제안드립니다.,0 / 0,1,2021.01.12,학생지원,학술
6962,도서관 동영상 강의 서비스에 인프런 강의가 추가 제안합니다.,0 / 0,36,2021.01.12,학생지원,학술
6961,학교 입결과 이미지를 고의적으로 실추시키는 인터넷 게시물과 댓글에 대한 학교의 대응이 간절합니다.,1 / 0,50,2021.01.06,기타,
6960,인터넷에 떠도는 학교의 입시정보에 적극적으로 대응해 주십시오.,1 / 0,39,2021.01.06,기타,
